SiteCode,SiteName,Latitude,Longitude,LocalAuthorityID,SiteClassification,HeadHeight,ToRoad,SiteLocationType,Indoor,SitePhotoURL,SiteDescription,SleepTime,BatteryStatus,BatteryPercentage,SignalStrength,SensorsHealthStatus,OverallStatus,DeviceCode,StartDate,EndDate,LastCommunication,InputPowerError,InputPowerCurrent,InputPowerVoltage,InputBatteryError,InputBatteryVoltage,ChargingStatus,SignalQuality,BatterySleepMultiplier,WeatherError,PMError,NO2Error,LatestINO2Value,LatestINO2Index,LatestINO2IndexSource,LatestIPM10Value,LatestIPM10NUMValue,LatestIPM1Value,LatestIPM1NUMValue,LatestIPM25Value,LatestIPM25Index,LatestIPM25IndexSource,LatestIPM25NUMValue,LatestRELHUMValue,LatestTEMPERATValue,SiteActive,SiteGroup,PowerTag,Enabled,OtherTags,OrganisationName,SponsorName,HourlyBulletinEnd
CLDP0011,Westhorne Avenue (reference co-location),51.456356048583984,0.04072500020265579,,Urban Background,2.5999999046325684,12.0,,0,https://api.breathelondon.org/assets/images/CLDP0011.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,99.0,4-excellent,OK,healthy,ANMQY861,2021-02-10T11:11:30.580Z,,2023-12-07T00:13:36.437Z,0,109,5.201070308685303,0,4.139405250549316,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,N,"Deployed, Greenwich, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0012,Broadway Theatre Lewisham,51.44565963745117,-0.020366700366139412,,Urban Background,3.700000047683716,39.0,,0,https://api.breathelondon.org/assets/images/CLDP0012.jpg,"At the end of November 2021 the reference monitoring site housed within the Broadway Theatre, which had been running since 1996,  had to be removed due to extensive long term refurbishment of the theatre.  Since no other closeby location could be found for the reference monitoring, it was moved just round the corner to Laurence House, and this Breathe London Node installed on the wall opposite the original inlet.  This will help continue the valuable long term data set from this location.",1.0,fully charged,99.0,4-excellent,OK,healthy,AVPN29JP,2021-11-24T10:50:39.333Z,,2023-12-07T01:28:01.940Z,0,106,5.193040370941162,0,4.117251396179199,4,31,1,0,0,0,20.0,1.0,Measurement,,,,,4.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Lewisham, Mains1, Quid Pro Quo, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0013,Slade Green (reference co-location),51.46598434448242,0.18487712740898132,,Urban Background,4.0,58.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0013.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,98.0,4-excellent,OK,healthy,AJ1085D4,2021-02-12T09:03:40.863Z,,2023-12-06T23:15:14.750Z,0,98,5.173040390014648,0,4.109497547149658,4,23,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Bexley, Deployed, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0014,Ley Street (reference co-location),51.56948471069336,0.08290747553110123,,Urban Background,2.0,53.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0014.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",900.0,discharging normally,98.0,4-excellent,OK,healthy,AKPQ6WXH,2021-02-19T15:41:16.790Z,,2023-12-06T23:17:25.683Z,0,0,0.0,0,4.074051856994629,7,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, Redbridge, Solar900, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0015,Marylebone Road - Mains (reference co-location),51.52254104614258,-0.15458999574184418,,Kerbside,3.0,1.5,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0015.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",300.0,fully charged,99.0,4-excellent,OK,healthy,APW556XZ,2021-02-12T13:14:11.743Z,,2023-12-07T00:22:13.310Z,0,80,5.1888203620910645,0,4.170420169830322,4,24,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, Mains1, V1, Westminster",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0016,Marylebone Road - Solar (reference co-location),51.52254104614258,-0.15458999574184418,,Kerbside,3.0,1.2000000476837158,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0016.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",900.0,fully charged,99.0,4-excellent,OK,healthy,ATK6YRXJ,2021-02-12T13:14:07.847Z,,2023-12-07T01:13:42.957Z,0,113,5.185100078582764,0,4.153804779052734,4,25,1,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, Solar900, V1, Westminster",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0018,Blackwall Tunnel Approach (reference co-location),51.515045166015625,-0.0084184929728508,,Roadside,2.609999895095825,4.199999809265137,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0018.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,99.0,4-excellent,OK,healthy,A4MBTCFZ,2021-02-16T10:57:36.523Z,,2023-12-07T03:25:55.313Z,0,102,5.184939861297607,0,4.158235549926758,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, Mains1, Tower Hamlets, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0019,Eltham (reference co-location),51.452064514160156,-0.046845998615026474,,Urban Background,2.299999952316284,60.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0019.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",4800.0,discharging normally,16.0,3-good,OK,offline,ADXVP015,2022-08-15T10:05:00.000Z,,2023-09-13T04:44:02.020Z,0,0,0.0,0,3.3518435955047607,7,19,16,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,N,"Deployed, Greenwich, Mains300, Replacement, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0020,A2 Falconwood (reference co-location),51.456298828125,0.08560600131750107,,Roadside,2.5999999046325684,3.5,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0020.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,99.0,4-excellent,OK,healthy,A5DN1GBC,2021-07-20T13:00:00.000Z,,2023-12-07T03:30:14.903Z,0,107,5.216720104217529,0,4.12500524520874,4,21,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, Greenwich, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0021,John Harrison Way (reference co-location),51.494651794433594,0.00920839048922062,,Roadside,2.700000047683716,23.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0021.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,98.0,4-excellent,OK,healthy,AFM7BS07,2021-02-16T12:13:23.410Z,,2023-12-06T22:50:48.157Z,0,106,5.2088303565979,0,4.0851287841796875,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,N,"Deployed, Greenwich, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0022,Elephant & Castle (reference co-location),51.49315643310547,-0.10152703523635864,,Urban Background,2.5,43.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0022.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,99.0,4-excellent,OK,healthy,AKHNJ65X,2021-02-17T12:06:44.483Z,,2023-12-06T23:31:15.180Z,0,104,5.185029983520508,0,4.136082172393799,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, Mains1, Southwark, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0023,Beddington Lane North (reference co-location),51.389286041259766,-0.14166152477264404,,Roadside,2.5999999046325684,4.300000190734863,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0023.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,98.0,4-excellent,OK,healthy,AT5WBWQG,2021-02-17T16:14:53.613Z,,2023-12-07T01:15:19.083Z,0,97,5.173030376434326,0,4.06297492980957,4,25,1,0,0,0,11.0,1.0,Measurement,,,,,8.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Mains1, Sutton, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0024,Burrage Grove (reference co-location),51.49053192138672,0.07400300353765488,,Urban Background,2.5,10.0,,0,https://api.breathelondon.org/assets/images/CLDP0024.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,98.0,3-good,OK,healthy,AYP1BBCX,2021-02-23T11:02:57.547Z,,2023-12-07T01:56:55.123Z,0,92,5.184750080108643,0,4.102851390838623,4,30,1,0,0,0,12.0,1.0,Measurement,,,,,7.0,1.0,Measurement,,,,1,GLA,Mains,N,"Deployed, Greenwich, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0025,Rainham (reference co-location),51.52078628540039,0.20546071231365204,,Roadside,2.5999999046325684,8.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0025.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",300.0,fully charged,99.0,4-excellent,OK,healthy,AQQ4MDXH,2023-08-01T10:00:00.000Z,,2023-12-07T00:42:38.793Z,0,100,5.188830375671387,0,4.147158622741699,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, GLA, Havering, Launders Lane, Mains300, Replacement, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0026,Horseferry Road (reference co-location),51.49468231201172,-0.13193799555301666,,Urban Background,2.5999999046325684,16.700000762939453,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0026.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,99.0,4-excellent,OK,healthy,A6Q4BM26,2021-02-19T11:29:37.057Z,,2023-12-07T03:36:35.060Z,0,93,5.180930137634277,0,4.139405250549316,4,27,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, Mains1, V1, Westminster",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0027,North Kensington (reference co-location),51.520477294921875,-0.21264797449111938,,Urban Background,3.299999952316284,7.199999809265137,,0,https://api.breathelondon.org/assets/images/CLDP0027.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",1.0,fully charged,99.0,4-excellent,OK,offline,APM2HW6P,2022-06-21T09:00:00.000Z,,2023-12-01T10:03:35.233Z,0,116,5.180840492248535,0,4.179281711578369,4,29,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, GLA, Kensington and Chelsea, Mains1, Replacement, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0028,Brent Ikea (reference co-location),51.55247497558594,-0.25808900594711304,,Roadside,3.0,5.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0028.jpg,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",300.0,discharging normally,98.0,4-excellent,OK,healthy,AYJ7BKMD,2021-02-19T14:26:21.050Z,,2023-12-07T01:50:44.620Z,0,0,0.0,0,4.079590320587158,7,31,1,0,0,0,17.0,1.0,Measurement,,,,,13.0,1.0,Measurement,,,,1,GLA,Solar,Y,"Brent, Deployed, Solar900, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0029,Honor Oak Park - Solar (reference co-location),51.452064514160156,-0.046845998615026474,,Urban Background,,,,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/10868e81f2178e22e614ea52363177514cf4c1d7061338e9c42f44d4a12c4ad4,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",900.0,discharging normally,99.0,4-excellent,OK,healthy,AFZHPFH3,2021-02-03T00:10:52.357Z,,2023-12-06T22:44:50.723Z,0,0,0.0,0,4.140512943267822,7,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Unknown,Y,"Deployed, Lewisham, Solar900, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0030,Honor Oak Park Mains(reference co-location),51.452064514160156,-0.046845998615026474,,Urban Background,5.5,80.0,Co-Location,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/be58f1ce8ce0c1b42c143e932b2d972042becf2aa215c2372413ee14cb69f73b,"This is one of around twenty Breathe London reference co-location sites.

Co-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.

You can read more about this on our Network Accuracy page.",,fully charged,99.0,4-excellent,,healthy,ARNKZ5XY,2021-04-16T12:02:11.880Z,,2023-12-07T01:08:26.557Z,0,103,5.205040454864502,0,4.156020164489746,4,31,1,0,0,0,6.0,1.0,Measurement,,,,,6.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Lewisham, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0031,Guy's Hospital,51.50324630737305,-0.0877470001578331,,Roadside,3.5,2.0,Hospital,0,https://api.breathelondon.org/assets/images/CLDP0080.jpg,"Guy's Hospital was established in 1721 by philanthropist Thomas Guy. In 1974, the hospital added the 34-storey Guy's Tower and 29-storey Guy's House which is dedicated to improving outcomes of conditions such as Alzheimer's disease, stroke, Parkinson's disease and spinal cord injury. A new cancer centre was completed in April 2016. The hospital is part of King's Health Partners an academic health sciences centre, which is pioneering health research providing high quality teaching and education.",1.0,,,,,,AN2GM079,2021-06-23T09:59:00.000Z,2021-06-23T07:30:09.010Z,,0,118,5.181170463562012,0,4.1449432373046875,4,31,1,0,0,0,,,,,,,,,,,,,,0,,Mains,N,"Deployed, GLA, Mains1, Southwark, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0032,Melcombe Primary School,51.48638153076172,-0.22092899680137634,,Roadside,2.799999952316284,4.5,School,0,https://api.breathelondon.org/assets/images/CLDP0032.jpg,Melcombe Primary School is a two-form entry school located within the London Borough of Hammersmith & Fulham. The school was awarded a Healthy Schools silver award in 2019 by the National Healthy Schools Programme.,1.0,discharging normally,98.0,4-excellent,OK,healthy,A2GY6B2R,2021-05-26T15:01:46.283Z,,2023-12-07T03:10:22.040Z,0,0,0.0,0,4.087344169616699,7,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"CHILL, Deployed, GLA, Hammersmith and Fulham, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0033,William Hogarth School,51.48821258544922,-0.25570499897003174,,Urban Background,2.4000000953674316,52.0,School,0,https://api.breathelondon.org/assets/images/CLDP0033.jpg,"The William Hogarth School is located just north of the A4 in Chiswick in the London Borough of Hounslow. Sitting at the heart of the local community, the school’s atmosphere and ethos reflect the rich cultural diversity that surrounds it.",300.0,discharging normally,95.0,4-excellent,OK,healthy,A3TZV7XD,2021-06-09T09:20:15.450Z,,2023-12-07T03:14:35.963Z,0,0,0.0,0,3.958853006362915,7,24,1,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"CHILL, Deployed, GLA, Hounslow, Solar300, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0034,Ark Byron Primary Academy,51.506675720214844,-0.26277801394462585,,Urban Background,3.0,15.0,School,0,https://api.breathelondon.org/assets/images/CLDP0034.jpg,"
Ark Byron Primary Academy is located on the edge of Acton Park in the London Borough of Ealing. The Academy has six year groups, ranging from Reception to Year 5 and a total of 360 pupils. Their motto “Courage to reach for the sky” reflects the high aspirations they have for each pupil, encouraging them to aim high in everything that they do. ",1.0,fully charged,99.0,4-excellent,OK,healthy,AJVF4X57,2022-01-07T12:00:00.000Z,,2023-12-06T23:20:20.733Z,0,76,5.153090476989746,0,4.147158622741699,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"CHILL, Deployed, Ealing, GLA, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
CLDP0035,Christopher Hatton Primary School,51.52254104614258,-0.1120700016617775,,Urban Background,2.4000000953674316,9.0,School,0,https://api.breathelondon.org/assets/images/CLDP0035.jpg,"Christopher Hatton is a happy, ambitious and inclusive school reflecting the rich diversity of families in its area. Its curriculum emphasises the environment and the Rights of the Child,",1.0,fully charged,99.0,4-excellent,OK,healthy,A8XTXZFW,2021-05-28T09:25:23.263Z,,2023-12-06T22:04:39.263Z,0,109,5.193060398101807,0,4.131651401519775,4,28,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"CHILL, Camden, Deployed, GLA, Mains1, V1",Mayor of London,Mayor of London,Dec  7 2023  2:00AM
